year,letter,first_author,et_al,Accessed,method,species,country,local_modern_data,site,n_site,marine_riverine,hunter_gatherer,sedentary,midden_or_layer,num_specimens,num_layers,total_layers,num_edge,years_in_record,start_period,end_period,calibrated,main_question,Seasonality_Result,Notes,Reference
2013,,Finstad ,et al,TRUE,d18O+MgCa,Mytilus trossulus,US-California,TRUE,CA-CCO-295 ,1,marine,TRUE,FALSE,midden,90,4,NA,1,NA,1120,390,TRUE,Occupation Season,mostly Summer to Autumn,,"Finstad, K.M., Ingram, B.L., Schweikhardt, P., Lightfoot, K.G., Luby, E.M., Coles, G.R., 2013. New insights about the construction and use of shell mounds from the geochemical analysis of mollusks: an example from the greater San Francisco Bay. J. Archaeol. Sci. 40, 2648–2658."
2013,,Finstad ,et al,TRUE,d18O+MgCa,Mytilus trossulus,US-California,TRUE,CA-CCO-290,1,marine,TRUE,FALSE,midden,600,14,16,1,NA,1100,230,TRUE,Occupation Season and multi-site movements,"spring, summar and autumn",Not entirely clear on the numbers of specimens measured. There are supposed to be 60 for each of the 14 spits (60*14=840 not 1200 as in the text) of which 30 are edge samples for seasonality. So it is either half of 60*14 (420) or half of 1200 (600),"Finstad, K.M., Ingram, B.L., Schweikhardt, P., Lightfoot, K.G., Luby, E.M., Coles, G.R., 2013. New insights about the construction and use of shell mounds from the geochemical analysis of mollusks: an example from the greater San Francisco Bay. J. Archaeol. Sci. 40, 2648–2658."
2012,,Foster ,et al,TRUE,d18O,Protothaca grata,Mexico,TRUE,Puerto Pe√±asco,1,marine,TRUE,FALSE,midden,2,2,NA,34,1,5750,2050,TRUE,Occupation Season,autumn to spring,confused by the x-axes of the datasets that show shell growth in mm but range from 22 and 34 to 47 and 49. how is this close to the edge? Maybe measured from the umbo?,"Foster, M.S., Mitchell, D.R., Huckleberry, G., Dettman, D., Adams, K.R., 2012. ARCHAIC PERIOD SHELL MIDDENS, SEA-LEVEL FLUCTUATION, AND SEASONALITY: ARCHAEOLOGY ALONG THE NORTHERN GULF OF CALIFORNIA LITTORAL, SONORA, MEXICO. Am. Antiq. 77, 756–772."
2019,,Garcia-Escarzaga,,TRUE,d18O,Phorcus turbinatus,Spain,TRUE,El Mazo,1,marine,TRUE,FALSE,midden,130,7,NA,10,1,9020,7770,TRUE,"Occupation Season, food economy",Year-round (Winter Emphasis),,"García-Escárzaga, A., Gutiérrez-Zugasti, I., Cobo, A., Cuenca-Solana, D., Martín-Chivelet, J., Roberts, P., González-Morales, M.R., 2019. Stable oxygen isotope analysis of Phorcus lineatus (da Costa, 1778) as a proxy for foraging seasonality during the Mesolithic in northern Iberia. Archaeol. Anthropol. Sci. 11, 5631–5644."
2013,,Hallmann ,et al,TRUE,d18O+GI,Saxidomus gigantea,Canada-BC,TRUE,GcTr-6,1,marine,TRUE,FALSE,midden,2,2,9,63,4+,7440,6850,TRUE,Occupation Season,autumn to winter ,"Number of edge samples is averaged because the study did not aim to hit a specific target but decide sample quantities based on specimen growth, number of lyaers is absed on maximum depth and spit size of 20 cm","Hallmann, N., Burchell, M., Brewster, N., Martindale, A., Schöne, B.R., 2013. Holocene climate and seasonality of shell collection at the Dundas Islands Group, northern British Columbia, Canada—A bivalve sclerochronological approach. Palaeogeogr. Palaeoclimatol. Palaeoecol. 373, 163–172."
2013,,Hallmann ,et al,TRUE,d18O+GI,Saxidomus gigantea,Canada-BC,TRUE,GcTq-6,1,marine,TRUE,FALSE,midden,6,4,13,63,4+,1950,1340,TRUE,Occupation Season,Spring to Autumn,"Number of edge samples is averaged because the study did not aim to hit a specific target but decide sample quantities based on specimen growth, number of lyaers is absed on maximum depth and spit size of 20 cm","Hallmann, N., Burchell, M., Brewster, N., Martindale, A., Schöne, B.R., 2013. Holocene climate and seasonality of shell collection at the Dundas Islands Group, northern British Columbia, Canada—A bivalve sclerochronological approach. Palaeogeogr. Palaeoclimatol. Palaeoecol. 373, 163–172."
2013,,Hallmann ,et al,TRUE,d18O+GI,Saxidomus gigantea,Canada-BC,TRUE,GdTq-1,1,marine,TRUE,FALSE,midden,4,3,13,63,4+,2480,1510,TRUE,Occupation Season,Winter and Summer,"Number of edge samples is averaged because the study did not aim to hit a specific target but decide sample quantities based on specimen growth, number of lyaers is absed on maximum depth and spit size of 20 cm","Hallmann, N., Burchell, M., Brewster, N., Martindale, A., Schöne, B.R., 2013. Holocene climate and seasonality of shell collection at the Dundas Islands Group, northern British Columbia, Canada—A bivalve sclerochronological approach. Palaeogeogr. Palaeoclimatol. Palaeoecol. 373, 163–172."
2013,,Hallmann ,et al,TRUE,d18O+GI,Saxidomus gigantea,Canada-BC,TRUE,GdTq-3,1,marine,TRUE,FALSE,midden,8,5,20,63,4+,7050,5380,TRUE,Occupation Season,year-round,"Number of edge samples is averaged because the study did not aim to hit a specific target but decide sample quantities based on specimen growth, number of lyaers is absed on maximum depth and spit size of 20 cm","Hallmann, N., Burchell, M., Brewster, N., Martindale, A., Schöne, B.R., 2013. Holocene climate and seasonality of shell collection at the Dundas Islands Group, northern British Columbia, Canada—A bivalve sclerochronological approach. Palaeogeogr. Palaeoclimatol. Palaeoecol. 373, 163–172."
2013,,Hallmann ,et al,TRUE,d18O+GI,Saxidomus gigantea,Canada-BC,TRUE,GcTq-5,1,marine,TRUE,FALSE,midden,7,5,23,63,4+,3260,1850,TRUE,Occupation Season,year-round,"Number of edge samples is averaged because the study did not aim to hit a specific target but decide sample quantities based on specimen growth, number of lyaers is absed on maximum depth and spit size of 20 cm","Hallmann, N., Burchell, M., Brewster, N., Martindale, A., Schöne, B.R., 2013. Holocene climate and seasonality of shell collection at the Dundas Islands Group, northern British Columbia, Canada—A bivalve sclerochronological approach. Palaeogeogr. Palaeoclimatol. Palaeoecol. 373, 163–172."
2015,,Harke ,et al,TRUE,d18O,Busycon sinistrum,US-Florida,TRUE,Richardson's Hammock (8Gu10),1,marine,FALSE,TRUE,midden,11,3,NA,11,1 or 2,670,550,TRUE,Occupation Season,Spring + Summer,,"Harke, R.M., Herbert, G.S., White, N.M., Sliko, J., 2015. Sclerochronology of Busycon sinistrum: late prehistoric seasonality determination at St. Joseph Bay, Florida, USA. J. Archaeol. Sci. 57, 98–108."
2019,,Hausmann ,et al,TRUE,MgCa,Ostrea edulis,Ireland,FALSE,Conors Island,1,marine,TRUE,FALSE,midden,10,2,NA,300,5,6300,6180,TRUE,Occupation Season,Year-round,years in record are averaged with a minimum of 2,"Hausmann, N.B.M.J., Robson, H.K., Hunt, C., 2019. Annual growth patterns and interspecimen variability in Mg/Ca records of archaeological Ostrea edulis (European Oyster) from the Late Mesolithic site of Conors Island. Open Quaternary 18."
2017,,Hausmann and Meredith-Williams,,TRUE,d18O,Conomurex fasciatus,Saudi Arabia,TRUE,JW1727,1,marine,FALSE,TRUE,midden,66,22,26,10,1+,4900,2800,TRUE,"Occupation Season, human mobility",year-round (Autumn emphasis),,"Hausmann, N., Meredith-Williams, M., 2017. Seasonal Patterns of Coastal Exploitation on the Farasan Islands, Saudi Arabia. The Journal of Island and Coastal Archaeology 12, 360–379."
2013,b,Jew,et al,TRUE,d18O,Mytilus californianus,US-California,FALSE,CA-SMI-261,1,marine,TRUE,TRUE,midden,20,1,NA,5,NA,8600,8600,TRUE,Occupation Season,Summer to Winter,num_edge is averaged not counting the 1 long sequence per layer of 10–14 samples,"Jew, N.P., Erlandson, J.M., Watts, J., White, F.J., 2013b. Shellfish, Seasonality, and Stable Isotope Sampling: δ 18O Analysis of Mussel Shells From an 8,800-Year-Old Shell Midden on California’s Channel Islands. The Journal of Island and Coastal Archaeology 8, 170–189."
2013,b,Jew,et al,TRUE,d18O,Mytilus californianus,US-California,FALSE,CA-SMI-604,1,marine,TRUE,TRUE,midden,20,2,NA,5,NA,10000,9300,TRUE,Occupation Season,Summer to Winter,num_edge is averaged not counting the 1 long sequence per layer of 10–14 samples,"Jew, N.P., Erlandson, J.M., Watts, J., White, F.J., 2013b. Shellfish, Seasonality, and Stable Isotope Sampling: δ 18O Analysis of Mussel Shells From an 8,800-Year-Old Shell Midden on California’s Channel Islands. The Journal of Island and Coastal Archaeology 8, 170–189."
2013,b,Jew,et al,TRUE,d18O,Mytilus californianus,US-California,FALSE,CA-SMI-507,1,marine,TRUE,TRUE,midden,20,1,NA,5,NA,9000,9000,TRUE,Occupation Season,Year-round,num_edge is averaged not counting the 1 long sequence per layer of 10–14 samples,"Jew, N.P., Erlandson, J.M., Watts, J., White, F.J., 2013b. Shellfish, Seasonality, and Stable Isotope Sampling: δ 18O Analysis of Mussel Shells From an 8,800-Year-Old Shell Midden on California’s Channel Islands. The Journal of Island and Coastal Archaeology 8, 170–189."
2013,b,Jew,et al,TRUE,d18O,Mytilus californianus,US-California,FALSE,CA-SMI-522,1,marine,TRUE,TRUE,midden,20,2,NA,5,NA,10000,10000,TRUE,Occupation Season,Year-round,num_edge is averaged not counting the 1 long sequence per layer of 10–14 samples,"Jew, N.P., Erlandson, J.M., Watts, J., White, F.J., 2013b. Shellfish, Seasonality, and Stable Isotope Sampling: δ 18O Analysis of Mussel Shells From an 8,800-Year-Old Shell Midden on California’s Channel Islands. The Journal of Island and Coastal Archaeology 8, 170–189."
2013,a,Jew ,et al,TRUE,d18O,Mytilus californianus,US-California,FALSE,CA-SMI-693 ,1,marine,TRUE,FALSE,midden,39,NA,NA,8,1 or 2,8980,8290,TRUE,Occupation Season and method testing,Summer to Fall/summer emphasis,There are two methods applied here but the results rely on the one using 8 edge samples,"Jew, N.P., Erlandson, J., Rick, T., Watts, J., 2013a. Shellfish, Seasonality, and Sedentism: δ18O Analysis of California Mussels from Early Holocene Shell Middens on San Miguel Island, California 4, 58–68."
2014,,Jew ,et al,TRUE,d18O,Mytilus californianus,US-California,FALSE,CA-SRI-666,1,marine,TRUE,FALSE,midden,20,2,NA,6,NA,8530,7830,TRUE,Occupation Season,Year-round,,"Jew, N.P., Erlandson, J.M., Rick, T.C., Reeder-Myers, L., 2014. Oxygen isotope analysis of California mussel shells: seasonality and human sedentism at an 8,200-year-old shell midden on Santa Rosa Island, California. Archaeol. Anthropol. Sci. 6, 293–303."
2014,,Jew and Rick,,TRUE,d18O,Mytilus californianus,US-California,FALSE,CA-ANI- 2 ,1,marine,TRUE,TRUE,midden,20,1,NA,5,NA,3270,2750,TRUE,Occupation Season,year-round (summer/winter emphasis),,"Jew, N.P., Rick, T.C., 2014. Understanding the Occupation of Small Continental Islands: Seasonality and δ18O Evidence From Anacapa Island, California. The Journal of Island and Coastal Archaeology 9, 430–435."
2019,,Loftus ,et al,TRUE,d18O,Turbo sarmaticus ,South Africa,TRUE,Hoffman's/Robberg Cave ,1,marine,TRUE,FALSE,midden,2,1,NA,17,NA,4300,4000,TRUE,Occupation Season,Winter and Summer,num_edge is averaged,"Loftus, E., Lee-Thorp, J., Leng, M., Marean, C., Sealy, J., 2019. Seasonal scheduling of shellfish collection in the Middle and Later Stone Ages of southern Africa. J. Hum. Evol. 128, 1–16."
2019,,Loftus ,et al,TRUE,d18O,Turbo sarmaticus ,South Africa,TRUE,Pinnacle Point,1,marine,TRUE,FALSE,midden,34,5,NA,13,NA,89000,59000,TRUE,Occupation Season,Year-round,num_edge is averaged,"Loftus, E., Lee-Thorp, J., Leng, M., Marean, C., Sealy, J., 2019. Seasonal scheduling of shellfish collection in the Middle and Later Stone Ages of southern Africa. J. Hum. Evol. 128, 1–16."
2019,,Loftus ,et al,TRUE,d18O,Turbo sarmaticus ,South Africa,TRUE,Nelson Bay Cave,1,marine,TRUE,FALSE,midden,25,8,NA,15,NA,14900,2500,TRUE,Occupation Season,year-round (Autumn+Winter emphasis),num_edge is averaged,"Loftus, E., Lee-Thorp, J., Leng, M., Marean, C., Sealy, J., 2019. Seasonal scheduling of shellfish collection in the Middle and Later Stone Ages of southern Africa. J. Hum. Evol. 128, 1–16."
2019,,Loftus ,et al,TRUE,d18O,Turbo sarmaticus ,South Africa,TRUE,Byneskranskop 1,1,marine,TRUE,FALSE,midden,13,5,NA,11,NA,7400,1700,TRUE,Occupation Season,Year-round (few in spring),num_edge is averaged,"Loftus, E., Lee-Thorp, J., Leng, M., Marean, C., Sealy, J., 2019. Seasonal scheduling of shellfish collection in the Middle and Later Stone Ages of southern Africa. J. Hum. Evol. 128, 1–16."
2019,,Loftus ,et al,TRUE,d18O,Turbo sarmaticus ,South Africa,TRUE,Klasies River,1,marine,TRUE,FALSE,midden,30,4,NA,11,NA,120000,80000,TRUE,Occupation Season,year-round (spring emphasis),num_edge is averaged,"Loftus, E., Lee-Thorp, J., Leng, M., Marean, C., Sealy, J., 2019. Seasonal scheduling of shellfish collection in the Middle and Later Stone Ages of southern Africa. J. Hum. Evol. 128, 1–16."
,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,Parker ,et al,TRUE,d18O,Patella candeii,Spain,TRUE,Site cluster,10,marine,FALSE,TRUE,midden,100,10,NA,1,NA,2050,30,TRUE,Occupation Season,Warm Season,dodgy seasonality where annual temp range is based on edge samples only,"Parker, W., Yanes, Y., Mesa Hernández, E., Hernández Marrero, J.C., Pais, J., Soto Contreras, N., Surge, D., 2018. Shellfish Exploitation in the Western Canary Islands Over the Last Two Millennia. Environ. Archaeol. 1–23."
2016,,Prendergast,et al,TRUE,d18O,Phorcus turbinatus,Libya,TRUE,Haua Fteah,1,marine,FALSE,FALSE,layer,46,3,3,3,1+,43500,5400,TRUE,Occupation Season,Year-round,later phases were winter,"Prendergast, A.L., Stevens, R.E., O’Connell, T.C., Fadlalak, A., Touati, M., al-Mzeine, A., Schöne, B.R., Hunt, C.O., Barker, G., 2016. Changing patterns of eastern Mediterranean shellfish exploitation in the Late Glacial and Early Holocene: Oxygen isotope evidence from gastropod in Epipaleolithic to Neolithic human occupation layers at the Haua Fteah cave, Libya. Quat. Int. 407, 80–93."
2012,,Quitmyer and Jones,,TRUE,GI,Merceneria spp,US-Georgia,TRUE,McQueen shell ring,1,marine,TRUE,FALSE,midden,123,2,NA,NA,3,Archaic,Archaic,NA,Occupation Season,Winter/Spring,,"Quitmyer, I.R., Jones, D.S., 2012. Annual incremental shell growth patterns in hard clams (Mercenaria spp.) from St. Catherines Island, Georgia: A record of seasonal and anthropogenic …, in: E. J. Reitz, I.R. Quitmyer, D.H. Thomas (Ed.), Seasonality and Human Mobility along the Georgia Bight."
2012,,Quitmyer and Jones,,TRUE,GI,Merceneria spp,US-Georgia,TRUE,St. Catherines shell ring,1,marine,TRUE,FALSE,midden,116,1,NA,NA,3.5,Archaic,Archaic,NA,Occupation Season,Winter/Spring,,"Quitmyer, I.R., Jones, D.S., 2012. Annual incremental shell growth patterns in hard clams (Mercenaria spp.) from St. Catherines Island, Georgia: A record of seasonal and anthropogenic …, in: E. J. Reitz, I.R. Quitmyer, D.H. Thomas (Ed.), Seasonality and Human Mobility along the Georgia Bight."
2012,,Quitmyer and Jones,,TRUE,GI,Merceneria spp,US-Georgia,TRUE,Cannon's Point shell ring,1,marine,TRUE,FALSE,midden,35,1,NA,NA,2.5,Archaic,Archaic,NA,Occupation Season,Winter/Spring,,"Quitmyer, I.R., Jones, D.S., 2012. Annual incremental shell growth patterns in hard clams (Mercenaria spp.) from St. Catherines Island, Georgia: A record of seasonal and anthropogenic …, in: E. J. Reitz, I.R. Quitmyer, D.H. Thomas (Ed.), Seasonality and Human Mobility along the Georgia Bight."
2015,,Robson,,TRUE,GI,Ostrea edulis,Denmark,FALSE,Havn√∏,1,marine,NA,TRUE,midden,79,3,NA,NA,10,,,,Occupation Season,Mostly spring but also late autumn to summer,"Meso-neo transition site, years in record are averaged","Robson, H., 2015. Evaluating the change of consumption and culinary practices at the transition to agriculture: a multi-disciplinary approach from a Danish kitchen midden."
2015,,Robson,,TRUE,GI,Ostrea edulis,Denmark,FALSE,Erteb√∏lle,1,marine,NA,TRUE,midden,80,15,NA,NA,3,7050,6050,TRUE,Occupation Season,Spring,Meso-neo transition site,"Robson, H., 2015. Evaluating the change of consumption and culinary practices at the transition to agriculture: a multi-disciplinary approach from a Danish kitchen midden."
2015,,Robson,,TRUE,GI,Ostrea edulis,Denmark,FALSE,Holmeg√•rd,1,marine,TRUE,TRUE,midden,17,NA,NA,NA,2,7250,6450,TRUE,Occupation Season,Spring,,"Robson, H., 2015. Evaluating the change of consumption and culinary practices at the transition to agriculture: a multi-disciplinary approach from a Danish kitchen midden."
2015,,Robson,,TRUE,GI,Ostrea edulis,Denmark,FALSE,V√¶nges√∏ III,1,marine,TRUE,TRUE,midden,13,NA,NA,NA,3,6500,5500,TRUE,Occupation Season,Spring,,"Robson, H., 2015. Evaluating the change of consumption and culinary practices at the transition to agriculture: a multi-disciplinary approach from a Danish kitchen midden."
2015,,Robson,,TRUE,GI,Ostrea edulis,Denmark,FALSE,Brovst,1,marine,TRUE,TRUE,midden,9,1,NA,NA,3,6550,6450,TRUE,Occupation Season,Spring,,"Robson, H., 2015. Evaluating the change of consumption and culinary practices at the transition to agriculture: a multi-disciplinary approach from a Danish kitchen midden."
2015,,Robson,,TRUE,GI,Ostrea edulis,Denmark,FALSE,Bj√∏rnsholm,1,marine,NA,TRUE,midden,131,20,NA,NA,3,7000,5480,TRUE,Occupation Season,"Winter to Summer, Winter-Spring emphasis",Meso-neo transition site,"Robson, H., 2015. Evaluating the change of consumption and culinary practices at the transition to agriculture: a multi-disciplinary approach from a Danish kitchen midden."
2015,,Robson,,TRUE,GI,Ostrea edulis,Denmark,FALSE,Visborg,1,marine,NA,TRUE,midden,147,4,NA,NA,5,6750,5150,TRUE,Occupation Season,Winter-Spring,Meso-neo transition site,"Robson, H., 2015. Evaluating the change of consumption and culinary practices at the transition to agriculture: a multi-disciplinary approach from a Danish kitchen midden."
2015,,Robson,,TRUE,GI,Ostrea edulis,Denmark,FALSE,Kalv√∏,1,marine,TRUE,TRUE,midden,26,NA,NA,NA,3,4430,4010,TRUE,Occupation Season,Winter-Spring,,"Robson, H., 2015. Evaluating the change of consumption and culinary practices at the transition to agriculture: a multi-disciplinary approach from a Danish kitchen midden."
2015,,Robson,,TRUE,GI,Ostrea edulis,Denmark,FALSE,Dyngby III,1,marine,TRUE,TRUE,midden,19,4,NA,NA,2,6790,6210,TRUE,Occupation Season,Winter-Spring,,"Robson, H., 2015. Evaluating the change of consumption and culinary practices at the transition to agriculture: a multi-disciplinary approach from a Danish kitchen midden."
2015,,Robson,,TRUE,GI,Ostrea edulis,Denmark,FALSE,Tybrind Vig,1,marine,TRUE,TRUE,midden,12,NA,NA,NA,4,7350,2050,TRUE,Occupation Season,Winter-Spring,,"Robson, H., 2015. Evaluating the change of consumption and culinary practices at the transition to agriculture: a multi-disciplinary approach from a Danish kitchen midden."
2015,,Robson,,TRUE,GI,Ostrea edulis,Denmark,FALSE,Eskils√∏,1,marine,NA,TRUE,midden,102,7,NA,NA,10,6250,5450,TRUE,Occupation Season,Winter/Spring,Meso-neo transition site,"Robson, H., 2015. Evaluating the change of consumption and culinary practices at the transition to agriculture: a multi-disciplinary approach from a Danish kitchen midden."
2019,,Sanger ,et al,TRUE,GI,Merceneria merceneria,US-Georgia,TRUE,Sapelo Island,1,marine,TRUE,FALSE,midden,809,14,NA,NA,3,Archaic,Archaic,NA,Occupation Season,Winter/Spring,years in record are averaged,"Sanger, M.C., Quitmyer, I.R., Colaninno, C.E., Cannarozzi, N., Ruhl, D.L., 2020. Multiple-Proxy Seasonality Indicators: An Integrative Approach to Assess Shell Midden Formations from Late Archaic Shell Rings in the Coastal Southeast North America. The Journal of Island and Coastal Archaeology 15, 333–363."
2011,,Schweikhardt ,et al,TRUE,d18O+MgCa,Mytilus trossulus,US-California,TRUE,CA-CCO-295 ,1,marine,TRUE,FALSE,midden,70,7,NA,1,NA,3510,240,TRUE,Occupation Season,Summer to Autumn,,"Schweikhardt, P., Ingram, B.L., Lightfoot, K., Luby, E., 2011. Geochemical methods for inferring seasonal occupation of an estuarine shellmound: a case study from San Francisco Bay. J. Archaeol. Sci. 38, 2301–2312."
2015,,Thompson,et al,TRUE,d18O,Crassostrea virginica,US-Florida,TRUE,Roberts Island,2,marine,FALSE,TRUE,midden,32,4,4,19,1+,1885,880,TRUE,Occupation Season and multi-site movements,Year-round,,"Thompson, V.D., Pluckhahn, T.J., Das, O., Andrus, C.F.T., 2015. Assessing village life and monument construction (cal. AD 65–1070) along the central Gulf Coast of Florida through stable isotope geochemistry. Journal of Archaeological Science: Reports 4, 111–123."
2015,,Thompson,et al,TRUE,d18O,Crassostrea virginica,US-Florida,TRUE,Crystal River,2,marine,FALSE,TRUE,midden,20,4,4,19,1+,1885,880,TRUE,Occupation Season and multi-site movements,Year-round,Difference between midden and mound with midden year round and mound focused on winter,"Thompson, V.D., Pluckhahn, T.J., Das, O., Andrus, C.F.T., 2015. Assessing village life and monument construction (cal. AD 65–1070) along the central Gulf Coast of Florida through stable isotope geochemistry. Journal of Archaeological Science: Reports 4, 111–123."
2011,,Thompson and Andrus,,TRUE,GI,Merceneria spp,US-Georgia,TRUE,Sapelo Island,3,marine,TRUE,FALSE,midden,389,NA,NA,NA,NA,4600,3800,TRUE,Formation processes,late spring to summer,num_specimens differs here from what is mentioned in the abstract and only includes the ones that produced reliable data,"Thompson, V.D., Andrus, C.F.T., 2011. Evaluating Mobility, Monumentality, and Feasting at the Sapelo Island Shell Ring Complex. Am. Antiq. 76, 315–343."
2011,,Thompson and Andrus,,TRUE,d18O,Merceneria spp+ Crassostrea virginica,US-Georgia,TRUE,Sapelo Island,3,marine,TRUE,FALSE,midden,45,NA,NA,10,NA,4600,3800,TRUE,Formation processes,Year-round (winter and summer emphasis),"I say emphasis, there could be evidence of feasting so these emphases might be single deposition events, num_specimens differs here from what is mentioned in the abstract and only includes the ones that produced reliable data.","Thompson, V.D., Andrus, C.F.T., 2011. Evaluating Mobility, Monumentality, and Feasting at the Sapelo Island Shell Ring Complex. Am. Antiq. 76, 315–343."
2016,,Twaddle,,TRUE,d18O,Marcia hiantina ,Australia,TRUE,Thundiy,1,marine,TRUE,TRUE,midden,86,13,NA,1,0,800,0,TRUE,Wet/Dry,Dry phase,,"Twaddle, R., 2016. A novel application of sclerochronology: forging new understandings of Aboriginal occupation in the South Wellesley Archipelago, Gulf of Carpentaria (phd). James Cook University. https://doi.org/10.25903/bm5b-rp93"
2016,,Twaddle,,TRUE,d18O,Marcia hiantina ,Australia,TRUE,Dangkankuruwuru ,1,marine,TRUE,TRUE,midden,73,24,NA,1,0,1780,0,TRUE,Wet/Dry,Dry phase,,"Twaddle, R., 2016. A novel application of sclerochronology: forging new understandings of Aboriginal occupation in the South Wellesley Archipelago, Gulf of Carpentaria (phd). James Cook University. https://doi.org/10.25903/bm5b-rp93"
2016,,Twaddle,,TRUE,d18O,Marcia hiantina ,Australia,TRUE,Murdumurdu ,1,marine,TRUE,TRUE,midden,33,10,NA,1,0,508,67,,Wet/Dry,Dry phase,,"Twaddle, R., 2016. A novel application of sclerochronology: forging new understandings of Aboriginal occupation in the South Wellesley Archipelago, Gulf of Carpentaria (phd). James Cook University. https://doi.org/10.25903/bm5b-rp93"
